incident_place,incident_weekday,part_of_the_day,latitude,longitude,crime_risk_score,murder_risk,rape_risk,kidnap_risk,bodyfound_risk,robbery_risk,assault_risk,total_crimes,total_murders,total_rapes,total_kidnaps,total_bodyfounds,total_robberys,total_assaults,risk_level,marker_radius,dominant_crime
Dhaka,friday,night,23.7465,90.3997,0.85,0.3,0.2,0.15,0.05,0.7,0.6,1200,30,20,15,5,700,430,Very High,8.0,robbery_risk
Dhaka,saturday,night,23.7465,90.3997,0.82,0.28,0.18,0.12,0.04,0.68,0.58,1100,28,18,12,4,680,372,Very High,8.0,robbery_risk
Chittagong,monday,evening,22.3530,90.8175,0.65,0.15,0.12,0.10,0.03,0.55,0.45,800,10,8,7,2,450,233,High,7.0,robbery_risk
Chittagong,tuesday,evening,22.3530,90.8175,0.63,0.14,0.11,0.09,0.02,0.53,0.43,750,9,7,6,1,430,211,High,7.0,robbery_risk
Khulna,wednesday,morning,22.9022,89.0936,0.45,0.08,0.06,0.05,0.02,0.35,0.30,500,5,4,3,1,250,187,Moderate,6.0,robbery_risk
Khulna,thursday,morning,22.9022,89.0936,0.43,0.07,0.05,0.04,0.01,0.33,0.28,480,4,3,2,0,240,171,Moderate,6.0,robbery_risk
Rajshahi,sunday,afternoon,24.3745,88.6022,0.35,0.05,0.04,0.03,0.01,0.25,0.20,350,3,2,1,0,180,114,Low,5.0,assault_risk
Rajshahi,monday,afternoon,24.3745,88.6022,0.33,0.04,0.03,0.02,0.01,0.23,0.18,330,2,1,1,0,170,107,Low,5.0,assault_risk
Sylhet,friday,night,24.8949,91.8687,0.70,0.20,0.15,0.12,0.05,0.50,0.40,650,15,10,8,3,350,174,High,7.5,robbery_risk
Sylhet,saturday,night,24.8949,91.8687,0.68,0.18,0.13,0.10,0.04,0.48,0.38,620,13,9,7,2,330,169,High,7.5,robbery_risk
Barisal,tuesday,morning,22.7044,89.8566,0.25,0.03,0.02,0.01,0.00,0.15,0.10,200,1,1,0,0,100,89,Low,4.0,assault_risk
Barisal,wednesday,morning,22.7044,89.8566,0.23,0.02,0.01,0.01,0.00,0.13,0.09,180,0,1,0,0,90,80,Low,4.0,assault_risk
Rangpur,thursday,evening,25.7439,89.2803,0.55,0.12,0.10,0.08,0.03,0.40,0.35,450,6,5,4,2,230,153,Moderate,6.5,robbery_risk
Rangpur,friday,evening,25.7439,89.2803,0.53,0.11,0.09,0.07,0.02,0.38,0.33,430,5,4,3,1,220,147,Moderate,6.5,robbery_risk
